Выборка банков;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
№;Наименование;Регистрационный номер;Наименование полное;Адрес (место нахождения);Руководитель ФИО;Дата регистрации;Возраст банка;Дата ликвидации;Статус;Банковский идентификационный номер;Регион регистрации;Организационно-правовая форма;Форма собственности;Уставный капитал, RUB;Комментарий;Важная информация;2018 - 2мес., Чистые активы, RUB;2018 - 3мес., Чистые активы, RUB;2018 - 4мес., Чистые активы, RUB;2018 - 5мес., Чистые активы, RUB;2018 - 6мес., Чистые активы, RUB;2018 - 7мес., Чистые активы, RUB;2018 - 8мес., Чистые активы, RUB;2018 - 9мес., Чистые активы, RUB;2018 - 10мес., Чистые активы, RUB;2018 - 11мес., Чистые активы, RUB;2018 - 12мес., Чистые активы, RUB;2019 - 1мес., Чистые активы, RUB;2018 - 2мес., Счета в Банке России, RUB;2018 - 3мес., Счета в Банке России, RUB;2018 - 4мес., Счета в Банке России, RUB;2018 - 5мес., Счета в Банке России, RUB;2018 - 6мес., Счета в Банке России, RUB;2018 - 7мес., Счета в Банке России, RUB;2018 - 8мес., Счета в Банке России, RUB;2018 - 9мес., Счета в Банке России, RUB;2018 - 10мес., Счета в Банке России, RUB;2018 - 11мес., Счета в Банке России, RUB;2018 - 12мес., Счета в Банке России, RUB;2019 - 1мес., Счета в Банке России, RUB;2018 - 2мес., Коррсчета (НОСТРО), RUB;2018 - 3мес., Коррсчета (НОСТРО), RUB;2018 - 4мес., Коррсчета (НОСТРО), RUB;2018 - 5мес., Коррсчета (НОСТРО), RUB;2018 - 6мес., Коррсчета (НОСТРО), RUB;2018 - 7мес., Коррсчета (НОСТРО), RUB;2018 - 8мес., Коррсчета (НОСТРО), RUB;2018 - 9мес., Коррсчета (НОСТРО), RUB;2018 - 10мес., Коррсчета (НОСТРО), RUB;2018 - 11мес., Коррсчета (НОСТРО), RUB;2018 - 12мес., Коррсчета (НОСТРО), RUB;2019 - 1мес., Коррсчета (НОСТРО), RUB;2018 - 2мес., Ценные бумаги, RUB;2018 - 3мес., Ценные бумаги, RUB;2018 - 4мес., Ценные бумаги, RUB;2018 - 5мес., Ценные бумаги, RUB;2018 - 6мес., Ценные бумаги, RUB;2018 - 7мес., Ценные бумаги, RUB;2018 - 8мес., Ценные бумаги, RUB;2018 - 9мес., Ценные бумаги, RUB;2018 - 10мес., Ценные бумаги, RUB;2018 - 11мес., Ценные бумаги, RUB;2018 - 12мес., Ценные бумаги, RUB;2019 - 1мес., Ценные бумаги, RUB;2018 - 2мес., Кредиты, RUB;2018 - 3мес., Кредиты, RUB;2018 - 4мес., Кредиты, RUB;2018 - 5мес., Кредиты, RUB;2018 - 6мес., Кредиты, RUB;2018 - 7мес., Кредиты, RUB;2018 - 8мес., Кредиты, RUB;2018 - 9мес., Кредиты, RUB;2018 - 10мес., Кредиты, RUB;2018 - 11мес., Кредиты, RUB;2018 - 12мес., Кредиты, RUB;2019 - 1мес., Кредиты, RUB;2018 - 2мес., Кредиты организациям, RUB;2018 - 3мес., Кредиты организациям, RUB;2018 - 4мес., Кредиты организациям, RUB;2018 - 5мес., Кредиты организациям, RUB;2018 - 6мес., Кредиты организациям, RUB;2018 - 7мес., Кредиты организациям, RUB;2018 - 8мес., Кредиты организациям, RUB;2018 - 9мес., Кредиты организациям, RUB;2018 - 10мес., Кредиты организациям, RUB;2018 - 11мес., Кредиты организациям, RUB;2018 - 12мес., Кредиты организациям, RUB;2019 - 1мес., Кредиты организациям, RUB;2018 - 2мес., Кредиты физическим лицам, RUB;2018 - 3мес., Кредиты физическим лицам, RUB;2018 - 4мес., Кредиты физическим лицам, RUB;2018 - 5мес., Кредиты физическим лицам, RUB;2018 - 6мес., Кредиты физическим лицам, RUB;2018 - 7мес., Кредиты физическим лицам, RUB;2018 - 8мес., Кредиты физическим лицам, RUB;2018 - 9мес., Кредиты физическим лицам, RUB;2018 - 10мес., Кредиты физическим лицам, RUB;2018 - 11мес., Кредиты физическим лицам, RUB;2018 - 12мес., Кредиты физическим лицам, RUB;2019 - 1мес., Кредиты физическим лицам, RUB;2018 - 2мес., Кредиты другим банкам (МБК), RUB;2018 - 3мес., Кредиты другим банкам (МБК), RUB;2018 - 4мес., Кредиты другим банкам (МБК), RUB;2018 - 5мес., Кредиты другим банкам (МБК), RUB;2018 - 6мес., Кредиты другим банкам (МБК), RUB;2018 - 7мес., Кредиты другим банкам (МБК), RUB;2018 - 8мес., Кредиты другим банкам (МБК), RUB;2018 - 9мес., Кредиты другим банкам (МБК), RUB;2018 - 10мес., Кредиты другим банкам (МБК), RUB;2018 - 11мес., Кредиты другим банкам (МБК), RUB;2018 - 12мес., Кредиты другим банкам (МБК), RUB;2019 - 1мес., Кредиты другим банкам (МБК), RUB;2018 - 2мес., Основные средства, RUB;2018 - 3мес., Основные средства, RUB;2018 - 4мес., Основные средства, RUB;2018 - 5мес., Основные средства, RUB;2018 - 6мес., Основные средства, RUB;2018 - 7мес., Основные средства, RUB;2018 - 8мес., Основные средства, RUB;2018 - 9мес., Основные средства, RUB;2018 - 10мес., Основные средства, RUB;2018 - 11мес., Основные средства, RUB;2018 - 12мес., Основные средства, RUB;2019 - 1мес., Основные средства, RUB;2018 - 2мес., Учтённые векселя, RUB;2018 - 3мес., Учтённые векселя, RUB;2018 - 4мес., Учтённые векселя, RUB;2018 - 5мес., Учтённые векселя, RUB;2018 - 6мес., Учтённые векселя, RUB;2018 - 7мес., Учтённые векселя, RUB;2018 - 8мес., Учтённые векселя, RUB;2018 - 9мес., Учтённые векселя, RUB;2018 - 10мес., Учтённые векселя, RUB;2018 - 11мес., Учтённые векселя, RUB;2018 - 12мес., Учтённые векселя, RUB;2019 - 1мес., Учтённые векселя, RUB
51;ИНБАНКПРОДУКТ ОАО, АКБ;3191;"АКЦИОНЕРНЫЙ КОММЕРЧЕСКИЙ БАНК ""ИНВЕСТИЦИОННЫЕ И БАНКОВСКИЕ ПРОДУКТЫ"" (ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО)";115093, г. Москва, ул. Щипок, д. 18 корп. 1;Мащев Александр Борисович;30.12.1994;24,0;;Ликвидируется;044525167;Москва;Публичные акционерные общества;Частная собственность;106 000 000;;Находится в стадии ликвидации от 18.05.2011, Отозвана Генеральная лицензия на осуществление банковских операций от 21.12.2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;КРЕДИТ-МОСКВА (ПАО), БАНК;5;"АКЦИОНЕРНЫЙ КОММЕРЧЕСКИЙ БАНК ""КРЕДИТ-МОСКВА"" (ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО)";115054, г. Москва, пер. Монетчиковский 6-Й, д. 8 корп. 1;Свистунов Аркадий Николаевич;21.09.1988;30,5;;Ликвидируется;044525501;Москва;Публичные акционерные общества;Смешанная российская собственность с долями федеральной собственности и собственности субъектов Российской Федерации;107 898 000;;Находится в стадии ликвидации от 22.11.2016, Отозвана Генеральная лицензия на осуществление банковских операций от 22.07.2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;ИНТЕРКРЕДИТ (АО), КБ;3047;"КОММЕРЧЕСКИЙ БАНК ""ИНТЕРКРЕДИТ"" (АКЦИОНЕРНОЕ ОБЩЕСТВО)";115583, г. Москва, ул. Белова Генерала, д. 26;Пастушенко Дмитрий Сергеевич;10.08.1994;24,5;;Ликвидируется;044599957;Москва;Непубличные акционерные общества;Смешанная российская собственность с долей собственности субъектов Российской Федерации;110 000 000;;Находится в стадии ликвидации от 17.10.2016, Отозвана Лицензия на осуществление банковских операций со средствами в рублях и иностранной валюте (без права привлечения во вклады денежных средств физических лиц) от 29.06.2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;ЖИЛСТРОЙБАНК, АО КБ;2769;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОММЕРЧЕСКИЙ БАНК ЖИЛИЩНОГО СТРОИТЕЛЬСТВА""";123001, г. Москва, пер. Вспольный, д. 18 корп. 1;Дебальчук Мария Анатольевна;31.03.1994;25,0;;Ликвидируется;044525580;Москва;Непубличные акционерные общества;Смешанная российская собственность с долей федеральной собственности;110 130 000;;Находится в стадии ликвидации от 12.03.2019, Отозвана Лицензия на осуществление банковских операций со средствами в рублях и иностранной валюте (без права привлечения во вклады денежных средств физических лиц) от 01.03.2019;521 168 000;531 325 000;549 317 000;519 268 000;479 375 000;529 411 000;478 563 000;565 062 000;494 163 000;476 240 000;415 927 000;370 301 000;322 451 000;363 945 000;383 792 000;309 242 000;272 879 000;271 092 000;229 886 000;308 419 000;281 568 000;304 106 000;274 032 000;233 323 000;607 000;244 000;238 000;5 094 000;233 000;9 372 000;218 000;239 000;68 000;118 000;498 000;475 000;0;0;0;0;0;0;0;0;0;0;0;0;164 914 000;138 738 000;137 404 000;176 466 000;175 215 000;201 335 000;210 494 000;216 504 000;176 849 000;133 721 000;104 177 000;92 271 000;104 444 000;78 947 000;78 329 000;118 043 000;117 646 000;142 587 000;142 593 000;142 450 000;105 304 000;57 400 000;39 900 000;35 754 000;60 470 000;59 791 000;59 075 000;58 423 000;57 569 000;58 748 000;67 901 000;74 054 000;71 545 000;76 321 000;64 277 000;56 517 000;0;0;0;0;0;0;0;0;0;0;0;0;1 295 000;1 236 000;1 069 000;1 011 000;954 000;898 000;841 000;785 000;728 000;672 000;616 000;573 000;0;0;0;0;0;0;0;0;0;0;0;0
55;КРЕДИТИМПЭКС БАНК (ООО), КБ;2037;"КОММЕРЧЕСКИЙ БАНК ""КРЕДИТИМПЭКС БАНК"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ)";119002, г. Москва, ул. Арбат, д. 54/2 стр. 1;Михеев Илья Владимирович;28.08.1992;26,5;;Ликвидируется;044525329;Москва;Общества с ограниченной ответственностью;Частная собственность;112 800 000;;Находится в стадии ликвидации от 30.10.2014, Решение о признании должника банкротом и открытии конкурсного производства от 09.09.2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;МИКО-БАНК ООО, КБ;3195;"КОММЕРЧЕСКИЙ БАНК ""МИКО-БАНК"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ)";115487, г. Москва, ул. Нагатинская, д. 22 корп. 1;Королёв Григорий Евгеньевич;30.12.1994;24,0;;Ликвидируется;044525284;Москва;Общества с ограниченной ответственностью;Частная собственность;112 918 900;;Находится в стадии ликвидации от 14.06.2016, Отозвана Лицензия на осуществление банковских операций со средствами в рублях и иностранной валюте (без права привлечения во вклады денежных средств физических лиц) от 24.03.2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;РИАЛ-КРЕДИТ (ООО), КБ;3393;"КОММЕРЧЕСКИЙ БАНК ""РИАЛ-КРЕДИТ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ)";115172, г. Москва, ул. Каменщики М., д. 10;Тимошина Алина Николаевна;23.01.2002;17,0;;Ликвидируется;044525479;Москва;Общества с ограниченной ответственностью;Частная собственность;115 000 000;;Находится в стадии ликвидации от 31.01.2019, Отозвана Лицензия на осуществление банковских операций со средствами в рублях и иностранной валюте (без права привлечения во вклады денежных средств физических лиц) от 19.10.2018;1 465 160 000;1 432 240 000;1 387 714 000;1 188 136 000;1 219 185 000;1 344 509 000;1 357 582 000;1 314 941 000;;;;;209 733 000;169 744 000;380 992 000;214 551 000;279 529 000;333 362 000;429 760 000;312 911 000;;;;;18 644 000;34 958 000;79 804 000;49 303 000;80 126 000;55 689 000;84 071 000;79 764 000;;;;;0;0;0;0;0;0;0;0;;;;;662 994 000;653 774 000;235 315 000;304 603 000;232 152 000;229 912 000;216 206 000;215 768 000;;;;;229 101 000;226 910 000;185 163 000;162 124 000;180 227 000;174 870 000;163 014 000;163 570 000;;;;;71 057 000;69 983 000;50 152 000;42 479 000;51 925 000;55 042 000;53 192 000;52 198 000;;;;;362 836 000;356 881 000;0;100 000 000;0;0;0;0;;;;;192 239 000;191 996 000;284 098 000;273 174 000;272 882 000;272 493 000;272 223 000;271 772 000;;;;;0;0;0;0;0;0;0;0;;;;
58;БАНК ФИНИНВЕСТ, ООО;671;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАНК ФИНИНВЕСТ""";199226, г. Санкт-Петербург, ул. Нахимова, д. 15 литера Е;Шубин Герман Александрович;31.10.1990;28,0;;Ликвидируется;044030924;Санкт-Петербург;Общества с ограниченной ответственностью;Частная собственность;120 000 000;;Находится в стадии ликвидации от 26.11.2015, Отозвана Генеральная лицензия на осуществление банковских операций от 07.07.2014, Решение о признании должника банкротом и открытии конкурсного производства от 27.08.2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;ПУРПЕ, ОАО БАНК;709;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО БАНК""ПУРПЕ""";628606, Ханты-Мансийский Автономный Округ - Югра окр., г. Нижневартовск, ул. Мусы Джалиля, Микрорайон 9, д. 9;Сергеев Андрей Николаевич;02.11.1990;28,0;;Ликвидируется;047169702;Тюменская область;Публичные акционерные общества;Частная собственность;120 000 000;;Находится в стадии ликвидации от 16.02.2015, Отозвана Генеральная лицензия на осуществление банковских операций от 16.10.2014, Решение о признании должника банкротом и открытии конкурсного производства от 10.11.2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;СМАРТБАНК, АО;3408;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СМАРТБАНК""";111024, г. Москва, ул. Старообрядческая, д. 46 А;Мантрова Анастасия Александровна;28.05.2002;16,5;;Ликвидируется;044525746;Москва;Непубличные акционерные общества;Частная собственность;120 000 000;;Находится в стадии ликвидации от 20.07.2016, Отозвана Лицензия на осуществление банковских операций со средствами в рублях и иностранной валюте (без права привлечения во вклады денежных средств физических лиц) от 28.03.2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;АСКАНИЯ ТРАСТ (ООО), КОММЕРЧЕСКИЙ БАНК;286;"КОММЕРЧЕСКИЙ БАНК ""АСКАНИЯ ТРАСТ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ)";101000, г. Москва, ул. Покровка, д. 10 стр. 1;Леванов Виталий Алексеевич;10.05.1990;28,5;;Ликвидируется;044525141;Москва;Общества с ограниченной ответственностью;Частная собственность;120 800 000;;Находится в стадии ликвидации от 24.10.2014, Отозвана Генеральная лицензия на осуществление банковских операций от 08.08.2014, Решение о признании должника банкротом и открытии конкурсного производства от 29.09.2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;РФА, ПАО АКБ;2035;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО АКЦИОНЕРНЫЙ КОММЕРЧЕСКИЙ БАНК ""РУССКИЙ ФИНАНСОВЫЙ АЛЬЯНС""";127051, г. Москва, пер. Каретный М., д. 11-13 стр. 1;Михеев Илья Владимирович;26.08.1992;26,5;;Ликвидируется;044525165;Москва;Публичные акционерные общества;Частная собственность;121 372 389;;Находится в стадии ликвидации от 07.03.2017, Отозвана Лицензия на осуществление банковских операций со средствами в рублях и иностранной валюте (без права привлечения во вклады денежных средств физических лиц) от 09.12.2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;МОЙ БАНК. ИПОТЕКА (ОАО);2436;"""МОЙ БАНК. ИПОТЕКА"" (ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО)";450098, Башкортостан респ., г. Уфа, проспект Октября, д. 132 корп. 3(Бизнес-центр «КПД»);Тихонов Вячеслав Анатольевич;26.07.1993;25,5;;Ликвидируется;048073917;Башкортостан (Республика);Публичные акционерные общества;Частная собственность;126 373 000;;Находится в стадии ликвидации от 10.06.2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;ЕВРОКРЕДИТ (ООО), БАНК;2957;"КОММЕРЧЕСКИЙ БАНК ""ЕВРОКРЕДИТ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ)";105082, г. Москва, ул. Бакунинская, д. 80 стр. 1;Коваль Андрей Михайлович;04.07.1994;24,5;;Ликвидируется;044525882;Москва;Общества с ограниченной ответственностью;Частная собственность;128 000 000;;Находится в стадии ликвидации от 19.02.2016, Отозвана Лицензия на привлечение во вклады и размещение драгоценных металлов от 04.12.2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;ПРЕСТИЖКРЕДИТБАНК, ООО КБ;2922;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ КОММЕРЧЕСКИЙ БАНК ""ПРЕСТИЖКРЕДИТБАНК""";368607, Дагестан респ., г. Дербент, пер. Чапаева, д. 23 корп. А;Джамалудинов Магомедгази Далгатович;27.06.1994;24,5;;Ликвидируется;048209848;Дагестан (Республика);Общества с ограниченной ответственностью;Частная собственность;130 400 000;;Находится в стадии ликвидации от 13.07.2015, Отозвана Генеральная лицензия на осуществление банковских операций от 26.11.2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;КБ ТАЛЬМЕНКА-БАНК, ООО;826;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОММЕРЧЕСКИЙ БАНК ""ТАЛЬМЕНКА-БАНК""";656037, Алтайский кр., г. Барнаул, проспект Ленина, д. 156-А;Майоров Денис Владимирович;16.11.1990;28,0;;Ликвидируется;040173749;Алтайский край;Общества с ограниченной ответственностью;Частная собственность;131 940 000;;Находится в стадии ликвидации от 04.05.2017, Отозвана Лицензия на привлечение во вклады денежных средств физических лиц в рублях и иностранной валюте от 23.01.2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;АНДЖИБАНК, ОАО;570;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО АКЦИОНЕРНЫЙ КОММЕРЧЕСКИЙ БАНК ""АНДЖИБАНК""";367026, Дагестан респ, г. Махачкала, проспект Имама Шамиля, д. 10;Джамалудинов Магомедгази Далгатович;24.10.1990;28,0;;Ликвидируется;048209729;Дагестан (Республика);Публичные акционерные общества;Частная собственность;140 000 000;;Находится в стадии ликвидации от 11.07.2014, Решение о признании должника банкротом и открытии конкурсного производства от 24.01.2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;ТУЛЬСКИЙ ПРОМЫШЛЕННИК (ПАО), БАНК;2382;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО КОММЕРЧЕСКИЙ БАНК ""ТУЛЬСКИЙ ПРОМЫШЛЕННИК""";300028, Тульская обл., г. Тула, ул. Смидович, д. 18 корп. Б;Майоров Денис Владимирович;11.06.1993;25,5;;Ликвидируется;047003729;Тульская область;Публичные акционерные общества;Частная собственность;143 819 725;;Находится в стадии ликвидации от 29.09.2015, Отозвана Лицензия на осуществление банковских операций со средствами в рублях и иностранной валюте (без права привлечения во вклады денежных средств физических лиц) от 27.07.2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;МОСТРАНСБАНК ОАО, АКБ;2258;"АКЦИОНЕРНЫЙ КОММЕРЧЕСКИЙ БАНК РАЗВИТИЯ ПРЕДПРИЯТИЙ ПАССАЖИРСКОГО ТРАНСПОРТА Г.МОСКВЫ ""МОСТРАНСБАНК"" (ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО)";111033, г. Москва, ул. Волочаевская, д. 9 корп. 9;Михеев Илья Владимирович;25.01.1999;20,0;;Ликвидируется;044525568;Москва;Публичные акционерные общества;Частная собственность;149 126 460;;Находится в стадии ликвидации от 29.07.2016, Отозвана Лицензия на осуществление банковских операций со средствами в рублях и иностранной валюте (без права привлечения во вклады денежных средств физических лиц) от 05.05.2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70;НСТ-БАНК, АО;1738;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АКЦИОНЕРНЫЙ КОММЕРЧЕСКИЙ БАНК ""НОСТА""";462359, Оренбургская обл., г. Новотроицк, ул. Советская, д. 49;Нерусин Павел Иванович;04.11.1992;26,0;;Ликвидируется;045354880;Оренбургская область;Публичные акционерные общества;Частная собственность;149 507 520;;Находится в стадии ликвидации от 02.06.2016, Отозвана Лицензия на привлечение во вклады денежных средств физических лиц в рублях и иностранной валюте от 16.11.2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71;ЛИНК-БАНК (ОАО), АКБ;2699;"АКЦИОНЕРНЫЙ КОММЕРЧЕСКИЙ БАНК ""ЛИНК-БАНК"" (ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО)";127434, г. Москва, шоссе Дмитровское, д. 7 корп. 2;Валлен Олег Эрлинович;18.02.1994;25,0;;Ликвидируется;044525144;Москва;Публичные акционерные общества;Частная собственность;149 964 390;;Находится в стадии ликвидации от 07.07.2014, Решение о признании должника банкротом и открытии конкурсного производства от 27.05.2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;АМБ БАНК (ПАО);3036;"""АМБ БАНК"" (ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО)";123242, г. Москва, бульвар Новинский, д. 31(Торгово-офисный центр «Новинский пассаж»);Ляненко Сергей Игоревич;04.08.1994;24,5;;Ликвидируется;044525350;Москва;Публичные акционерные общества;Частная собственность;150 000 000;;Находится в стадии ликвидации от 29.12.2015, Отозвана Лицензия на привлечение во вклады денежных средств физических лиц в рублях и иностранной валюте от 24.07.2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73;ГРИНФИЛДБАНК, АО;2711;"АКЦИОНЕРНЫЙ КОММЕРЧЕСКИЙ БАНК ""ГРИНФИЛД"" (АКЦИОНЕРНОЕ ОБЩЕСТВО)";107045, г. Москва, пер. Головин М., д. 8;Мащев Александр Борисович;24.02.1994;25,0;;Ликвидируется;044525271;Москва;Непубличные акционерные общества;Частная собственность;150 000 000;;Находится в стадии ликвидации от 21.01.2016, Отозвана Лицензия на привлечение во вклады денежных средств физических лиц в рублях и иностранной валюте от 23.10.2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;ДОРИС БАНК, ООО КБ;1679;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ КОММЕРЧЕСКИЙ БАНК ""ДОВЕРИЕ, РАВНОПРАВИЕ И СОТРУДНИЧЕСТВО""";125009, г. Москва, пер. Георгиевский, д. 1 корп. 1;Королёв Григорий Евгеньевич;25.12.1991;27,0;;Ликвидируется;044525608;Москва;Общества с ограниченной ответственностью;Частная собственность;150 396 000;;Находится в стадии ликвидации от 21.12.2015, Отозвана Лицензия на привлечение во вклады денежных средств физических лиц в рублях и иностранной валюте от 23.10.2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
